Date,Cases,Active Cases
20.02.2020,0,
28.02.2020,0,
29.02.2020,1,
01.03.2020,4,
02.03.2020,4,
03.03.2020,4,
04.03.2020,7,
05.03.2020,10,
06.03.2020,12,
07.03.2020,15,
08.03.2020,20,
09.03.2020,20,
10.03.2020,21,
11.03.2020,22,
12.03.2020,25,
13.03.2020,34,
14.03.2020,40,
15.03.2020,75,
16.03.2020,85,
17.03.2020,100,
18.03.2020,130,
19.03.2020,161,
20.03.2020,192,
21.03.2020,209,
22.03.2020,246,
23.03.2020,249,
24.03.2020,261,
25.03.2020,315,
26.03.2020,354,
27.03.2020,376,
28.03.2020,399,
29.03.2020,407,
30.03.2020,429,
31.03.2020,463,
01.04.2020,495,
02.04.2020,555,
03.04.2020,602,
04.04.2020,633,
05.04.2020,651,
06.04.2020,658,
07.04.2020,674,
08.04.2020,706,
09.04.2020,737,
10.04.2020,753,
11.04.2020,770,
12.04.2020,777,
13.04.2020,780,
14.04.2020,785,
15.04.2020,799,
16.04.2020,810,
17.04.2020,823,
18.04.2020,831,
19.04.2020,836,
20.04.2020,838,
21.04.2020,844,
22.04.2020,859,
23.04.2020,887,
24.04.2020,897,
25.04.2020,906,
26.04.2020,910,
27.04.2020,913,
28.04.2020,917,
29.04.2020,922,
30.04.2020,926,
01.05.2020,934,
02.05.2020,934,
03.05.2020,934,
04.05.2020,934,
05.05.2020,935,
06.05.2020,938,
07.05.2020,944,
08.05.2020,947,
11.05.2020,956,
12.05.2020,959,
13.05.2020,960,
14.05.2020,964,
15.05.2020,964,
18.05.2020,968,
19.05.2020,968,
20.05.2020,971,
22.05.2020,971,
25.05.2020,971,
26.05.2020,971,
27.05.2020,973,
28.05.2020,975,
29.05.2020,978,
02.06.2020,982,
03.06.2020,983,
04.06.2020,983,
05.06.2020,983,
08.06.2020,983,
09.06.2020,983,
10.06.2020,983,
12.06.2020,984,
15.06.2020,984,
17.06.2020,985,
19.06.2020,988,
22.06.2020,989,
24.06.2020,992,
26.06.2020,994,
29.06.2020,996,
01.07.2020,998,
03.07.2020,999,
06.07.2020,999,
08.07.2020,999,
10.07.2020,999,
13.07.2020,1002,
15.07.2020,1004,
17.07.2020,1007,
20.07.2020,1008,
22.07.2020,1010,
24.07.2020,1014,
27.07.2020,1016,
29.07.2020,1022,
31.07.2020,1031,
03.08.2020,1040,
05.08.2020,1053,
07.08.2020,1060,
10.08.2020,1068,
12.08.2020,1070,30
14.08.2020,1088,39
17.08.2020,1093,33
18.08.2020,1102,39
19.08.2020,1106,35
20.08.2020,1112,40
21.08.2020,1114,39
24.08.2020,1126,38
25.08.2020,1128,30
26.08.2020,1131,29
27.08.2020,1136,31
28.08.2020,1140,31
31.08.2020,1144,24
01.09.2020,1149,21
02.09.2020,1151,21
03.09.2020,1157,23
04.09.2020,1161,22
07.09.2020,1164,22
08.09.2020,1166,17
09.09.2020,1171,20
10.09.2020,1178,26
11.09.2020,1186,30
14.09.2020,1200,40
15.09.2020,1210,47
16.09.2020,1224,57
17.09.2020,1232,58
18.09.2020,1248,61
21.09.2020,1252,52
22.09.2020,1261,50
23.09.2020,1268,51
24.09.2020,1279,55
25.09.2020,1293,60
28.09.2020,1325,84
29.09.2020,1333,81
30.09.2020,1342,80
01.10.2020,1371,95
02.10.2020,1395,109
05.10.2020,1439,125
06.10.2020,1445,111
07.10.2020,1468,124
08.10.2020,1496,138
09.10.2020,1515,142
12.10.2020,1585,172
13.10.2020,1594,149
14.10.2020,1626,161
15.10.2020,1672,188
16.10.2020,1729,227
19.10.2020,1838,277
20.10.2020,1855,274
21.10.2020,1894,280
22.10.2020,1973,326
23.10.2020,2031,335
26.10.2020,2252,470
27.10.2020,2278,433
28.10.2020,2322,433
29.10.2020,2397,444
30.10.2020,2512,504
02.11.2020,2699,485
03.11.2020,2743,385
04.11.2020,2785,407
05.11.2020,2873,436
06.11.2020,2957,448
09.11.2020,3193,515
10.11.2020,3248,474
11.11.2020,3335,503
12.11.2020,3417,527
13.11.2020,3552,559
16.11.2020,3738,571
17.11.2020,3768,515
18.11.2020,3840,500
19.11.2020,3950,563
20.11.2020,3995,514
23.11.2020,4100,468
24.11.2020,4159,431
25.11.2020,4226,444
26.11.2020,4241,413
27.11.2020,4325,460
30.11.2020,4425,519
01.12.2020,4441,486
