Date,Cases,Active Cases
27.10.2020,448,112
28.10.2020,466,118
29.10.2020,489,132
30.10.2020,512,139
02.11.2020,564,145
03.11.2020,572,113
04.11.2020,587,122
05.11.2020,612,130
06.11.2020,639,135
09.11.2020,693,130
10.11.2020,706,125
11.11.2020,733,130
12.11.2020,755,143
13.11.2020,786,151
16.11.2020,832,140
17.11.2020,834,119
18.11.2020,853,126
19.11.2020,871,127
20.11.2020,883,112
23.11.2020,916,110
24.11.2020,930,107
25.11.2020,942,104
26.11.2020,945,94
27.11.2020,959,103
30.11.2020,982,122
