Date,Cases,Active Cases
27.10.2020,375,80
28.10.2020,387,83
29.10.2020,409,96
30.10.2020,441,114
02.11.2020,493,129
03.11.2020,510,114
04.11.2020,518,119
05.11.2020,546,133
06.11.2020,561,126
09.11.2020,615,120
10.11.2020,643,127
11.11.2020,670,137
12.11.2020,693,146
13.11.2020,731,150
16.11.2020,786,151
17.11.2020,787,132
18.11.2020,813,145
19.11.2020,851,161
20.11.2020,872,158
23.11.2020,899,140
24.11.2020,908,119
25.11.2020,925,121
26.11.2020,922,112
27.11.2020,938,110
30.11.2020,949,112
01.12.2020,953,108
03.12.2020,984,85
04.12.2020,998,83
07.12.2020,1022,106
