Date,Cases,Active Cases
27.10.2020,394,94
28.10.2020,416,110
29.10.2020,447,134
30.10.2020,479,156
02.11.2020,516,159
03.11.2020,521,124
04.11.2020,533,132
05.11.2020,555,138
06.11.2020,588,156
09.11.2020,639,169
10.11.2020,646,126
11.11.2020,668,132
12.11.2020,687,134
13.11.2020,721,143
16.11.2020,758,126
17.11.2020,764,116
18.11.2020,785,119
19.11.2020,805,122
20.11.2020,813,116
23.11.2020,831,88
24.11.2020,838,78
25.11.2020,851,75
26.11.2020,858,74
27.11.2020,868,73
30.11.2020,875,72
01.12.2020,875,67
03.12.2020,896,71
04.12.2020,910,73
07.12.2020,941,100
08.12.2020,943,86
10.12.2020,965,89
09.12.2020,947,82
