Date,Cases,Active Cases
27.10.2020,142,33
28.10.2020,142,32
29.10.2020,144,33
30.10.2020,148,33
02.11.2020,157,20
03.11.2020,157,13
04.11.2020,159,15
05.11.2020,163,17
06.11.2020,167,20
09.11.2020,167,12
10.11.2020,170,13
11.11.2020,170,11
12.11.2020,172,13
13.11.2020,178,18
16.11.2020,190,22
17.11.2020,190,21
18.11.2020,192,21
19.11.2020,195,24
20.11.2020,197,21
23.11.2020,201,18
24.11.2020,201,11
25.11.2020,207,14
26.11.2020,207,14
27.11.2020,210,17
30.11.2020,216,23
01.12.2020,216,20
03.12.2020,222,20
04.12.2020,226,22
07.12.2020,229,24
08.12.2020,230,21
10.12.2020,238,22
09.12.2020,230,19
11.12.2020,242,26
02.12.2020,221,22
14.12.2020,278,60
15.12.2020,279,59
16.12.2020,281,59
