Date,Cases,Active Cases
27.10.2020,426,104
28.10.2020,443,111
29.10.2020,469,128
30.10.2020,504,147
02.11.2020,547,135
03.11.2020,558,105
04.11.2020,570,113
05.11.2020,602,133
06.11.2020,615,121
09.11.2020,668,129
10.11.2020,683,124
11.11.2020,713,140
12.11.2020,731,136
13.11.2020,779,168
16.11.2020,837,169
17.11.2020,840,156
18.11.2020,864,168
19.11.2020,916,204
20.11.2020,938,192
23.11.2020,975,178
24.11.2020,994,164
25.11.2020,1018,170
26.11.2020,1024,155
27.11.2020,1040,154
30.11.2020,1081,182
01.12.2020,1083,172
03.12.2020,1130,169
04.12.2020,1144,143
