Date,Cases,Active Cases
27.10.2020,352,69
28.10.2020,364,70
29.10.2020,380,79
30.10.2020,403,92
02.11.2020,426,82
03.11.2020,432,70
04.11.2020,447,81
05.11.2020,466,91
06.11.2020,476,89
09.11.2020,511,100
10.11.2020,523,96
11.11.2020,539,101
12.11.2020,555,90
13.11.2020,578,97
16.11.2020,611,92
17.11.2020,613,80
18.11.2020,618,73
19.11.2020,622,70
20.11.2020,636,81
23.11.2020,654,79
24.11.2020,660,70
25.11.2020,673,72
26.11.2020,680,67
27.11.2020,704,89
30.11.2020,755,134
01.12.2020,755,123
03.12.2020,779,123
04.12.2020,795,119
07.12.2020,820,137
08.12.2020,821,123
10.12.2020,872,133
09.12.2020,860,132
11.12.2020,879,140
02.12.2020,773,127
14.12.2020,89,145
